user,following
1,930
1,1854
1,2028
1,2817
1,3714
1,3754
1,5300
1,5624
2,3741
2,5363
3,143
3,1768
3,3448
3,3716
3,3837
3,4775
3,5674
4,846
4,4583
4,5078
5,837
5,2224
5,4339
5,4473
5,4888
5,5793
6,221
6,1706
6,2553
6,2822
6,4499
6,5967
7,1433
7,2008
7,2329
7,2750
7,3537
7,3601
8,2444
8,5889
9,1095
9,1124
9,1707
9,2796
9,5724
10,155
10,803
10,1304
10,1643
10,4669
11,2256
11,3321
11,4361
11,6027
12,63
12,2122
12,2391
12,2633
12,2799
12,3504
12,3987
12,5282
12,5694
13,317
13,621
13,1131
13,1776
14,221
14,2590
14,4164
15,1545
15,1728
15,3379
15,3527
15,3827
15,5690
16,90
16,2200
16,2776
16,3317
16,5398
16,5761
16,5763
17,100
17,518
17,2571
17,4187
17,4930
18,1148
18,1216
18,1762
18,4415
18,4832
19,1021
19,2370
19,5132
19,5188
19,5198
20,1004
20,1688
20,1864
20,2612
20,3995
20,4624
20,4744
21,226
22,1040
22,2935
22,3877
22,4104
22,5156
22,5245
22,6037
23,1780
23,2689
23,2925
23,3090
23,3136
23,3229
23,3420
24,252
24,1508
24,1810
24,3408
24,3734
25,1292
25,1427
25,2948
25,3260
25,3612
25,3902
25,4320
25,4379
25,5538
25,5755
26,563
26,1767
26,1961
26,2302
26,2490
26,2500
26,3402
26,3653
26,6027
27,674
27,3064
28,653
28,1885
28,2186
28,2406
28,3079
28,4449
28,4707
29,1317
29,1896
29,2992
29,3088
29,4096
29,4282
29,4336
29,4764
29,5099
29,5306
29,5941
30,1259
30,3898
30,4053
30,4419
31,1707
31,2915
31,3740
31,4069
31,4315
31,5680
32,158
32,2395
32,2824
32,3345
32,3573
32,4188
32,5038
32,5469
33,305
33,1326
33,1873
33,2036
33,4112
33,5650
34,1560
34,1787
34,2458
34,2921
34,2968
35,139
35,213
35,947
35,1857
35,3327
35,4192
35,4239
35,5462
35,5586
35,5949
36,872
36,3864
36,5965
37,1237
37,4958
38,2412
38,3772
38,4922
38,5649
39,1665
40,146
40,627
40,1092
40,2301
40,3904
40,4682
40,5113
41,124
41,2298
41,3245
41,4065
42,361
42,1287
42,1441
42,2359
42,2645
42,3490
42,3796
42,4552
42,4871
42,4913
42,5836
43,568
43,2239
43,4084
43,5840
44,392
44,912
44,2989
44,5205
45,1239
45,2453
45,2719
45,3858
45,4402
46,1608
46,2019
46,2289
46,2728
46,3149
46,4031
47,128
47,1651
47,1947
47,2406
47,2540
47,3007
47,3050
47,3561
47,4709
48,519
48,1112
48,2933
48,5731
48,5823
49,191
49,580
49,2714
49,2871
49,3833
49,4702
49,4974
50,1797
50,2615
50,3484
50,5326
51,2819
51,3398
51,3476
51,5714
52,650
52,765
52,1577
52,3586
52,4305
53,575
53,885
53,3251
53,3720
53,4664
54,870
54,1352
54,2663
54,2940
54,5372
54,5440
54,5770
55,2250
55,4047
56,913
56,2985
56,5285
56,5321
57,1399
57,2873
57,5192
58,84
58,1630
58,1671
58,2688
58,4187
58,5181
59,1195
59,1720
59,4959
59,5778
60,726
60,2667
60,2964
60,3331
60,4441
61,591
61,2228
61,2312
61,2857
61,3229
61,4328
61,4658
