movieid,isEnglish,country,runningtime,title,year
1672052,T,other,2,'Breaker' Morant (1980),1980
1672111,T,other,2,'Crocodile' Dundee II (1988),1988
1672580,T,USA,3,'Til There Was You (1997),1997
1672716,T,USA,2,"'night, Mother (1986)",1986
1672946,T,USA,0,...And Justice for All (2014),2014
1673647,F,France,3,1-2-3-4 ou Les collants noirs (1961),1961
1673658,T,USA,2,1-900 (1996),1996
1673848,T,USA,2,10 Things I Hate About You (1999),1999
1674388,T,USA,2,101 Dalmatians (1996),1996
1674737,T,USA,2,12 Angry Men (1957),1957
1677011,T,USA,2,2 Days in the Valley (1996),1996
1677258,F,France,1,2 ou 3 choses que je sais d'elle (1967),1967
1677346,T,USA,1,20 Dates (1998),1998
1677472,T,USA,1,"20,000 Leagues Under the Sea (1905)",1905
1677516,T,USA,2,200 Cigarettes (1999),1999
1677631,T,USA,3,2001: A Space Odyssey (1968),1968
1678036,T,USA,3,2010 (1984),1984
1678591,T,UK,2,24 7: Twenty Four Seven (1997),1997
1679029,T,USA,2,28 Days (2000),2000
1679461,T,USA,1,3 Ninjas: High Noon at Mega Mountain (1998),1998
1679507,T,USA,1,3 Strikes (2000),2000
1679920,F,other,2,"301, 302 (1995)",1995
1681633,T,USA,3,52 Pick-Up (1986),1986
1681655,T,USA,2,54 (1998),1998
1682630,F,USA,1,8 1/2 (1963),1963
1682657,T,USA,1,8 Heads in a Duffel Bag (1997),1997
1682692,T,USA,2,8 Seconds (1994),1994
1682746,T,UK,3,8 ½ Women (1999),1999
1682922,T,USA,3,8MM (1999),1999
1684201,T,USA,2,A Boy Called Hate (1995),1995
1684430,T,USA,3,A Bronx Tale (1993),1993
1684442,T,USA,1,A Brother's Kiss (1997),1997
1684486,T,USA,1,A Bug's Life (1998),1998
1684910,T,USA,1,A Century of Cinema (1994),1994
1685241,T,USA,1,A Christmas Carol (1938),1938
1685309,T,USA,1,A Christmas Story (1983),1983
1685405,T,USA,3,A Civil Action (1998),1998
1685463,T,UK,3,A Clockwork Orange (1971),1971
1685493,T,UK,1,A Close Shave (1995),1995
1685815,T,USA,2,"A Cool, Dry Place (1998)",1998
1686071,T,other,2,A Cry in the Dark (2010),2010
1686209,T,USA,2,A Damsel in Distress (1937),1937
1687181,T,USA,2,A Dog of Flanders (1999),1999
1687191,T,USA,0,A Dog's Life (1917),1917
1687544,T,USA,3,A Face in the Crowd (1957),1957
1687685,T,USA,2,A Family Thing (1996),1996
1687730,T,USA,2,A Far Off Place (1993),1993
1687738,T,USA,1,A Farewell to Arms (1932),1932
1687905,T,USA,3,A Few Good Men (1992),1992
1688103,T,USA,2,A Fish Called Wanda (1988),1988
1688565,T,UK,2,A Further Gesture (1997),1997
1689117,T,other,1,A Good Man in Africa (1994),1994
1689183,T,USA,1,A Goofy Movie (1995),1995
1689210,T,UK,1,A Grand Day Out (1989),1989
1689263,T,USA,1,A Great Day in Harlem (1994),1994
1689475,T,UK,1,A Hard Day's Night (1964),1964
1690318,T,USA,1,A Kid in King Arthur's Court (1995),1995
1690377,T,UK,3,A King in New York (1957),1957
1690616,T,USA,3,A League of Their Own (1992),1992
1690710,T,USA,1,A Letter from Death Row (1998),1998
1690773,T,UK,2,A Life Less Ordinary (1997),1997
1690958,T,other,2,A Little Bit of Soul (1998),1998
1691077,T,USA,2,A Little Princess (1995),1995
1691387,T,USA,2,A Low Down Dirty Shame (1994),1994
1691642,T,UK,3,A Man for All Seasons (1966),1966
1691685,T,other,2,A Man of No Importance (1994),1994
1691793,T,USA,3,A Map of the World (1999),1999
1692173,T,other,3,A Midsummer Night's Dream (1999),1999
1692404,T,USA,1,A Modern Affair (1995),1995
1692580,T,UK,1,A Month by the Lake (1995),1995
1693225,T,USA,1,A Night at the Roxbury (1998),1998
1693305,T,UK,3,A Night to Remember (1958),1958
1693341,T,USA,1,A Nightmare on Elm Street (1984),1984
1693345,T,USA,2,A Nightmare on Elm Street 3: Dream Warriors (1987),1987
1693346,T,USA,2,A Nightmare on Elm Street 4: The Dream Master (1988),1988
1693347,T,USA,1,A Nightmare on Elm Street Part 2: Freddy's Revenge (1985),1985
1693348,T,USA,1,A Nightmare on Elm Street: The Dream Child (1989),1989
1693818,T,USA,2,A Perfect Candidate (1996),1996
1693861,T,USA,2,A Perfect Murder (1998),1998
1693880,T,USA,3,A Perfect World (1993),1993
1694141,T,USA,3,A Place in the Sun (1951),1951
1694448,T,UK,3,A Price Above Rubies (1998),1998
1694647,T,USA,1,A Pyromaniac's Love Story (1995),1995
1694901,T,USA,3,A Raisin in the Sun (1961),1961
1695219,T,USA,3,A River Runs Through It (1992),1992
1695355,T,UK,3,A Room with a View (1985),1985
1696148,T,France,3,A Simple Plan (1998),1998
1696165,T,USA,2,A Simple Twist of Fate (1994),1994
1696168,T,USA,1,A Simple Wish (1997),1997
1696396,T,USA,2,A Smile Like Yours (1997),1997
1696473,T,France,3,A Soldier's Daughter Never Cries (1998),1998
1696496,T,USA,2,A Soldier's Story (1984),1984
1696789,T,USA,3,A Star Is Born (1937),1937
1697037,T,USA,3,A Streetcar Named Desire (1951),1951
1697674,T,USA,2,A Thin Line Between Love and Hate (1996),1996
1697690,T,USA,2,A Thousand Acres (1997),1997
1697774,T,other,1,A Tickle in the Heart (1996),1996
1697856,T,USA,3,A Time to Kill (1996),1996
1698492,T,USA,1,A Very Brady Sequel (1996),1996
1698547,T,USA,1,A Very Natural Thing (1974),1974
1698667,T,UK,3,A View to a Kill (1985),1985
1698944,T,USA,2,A Walk in the Clouds (1995),1995
1698960,T,USA,3,A Walk in the Sun (1945),1945
1698972,T,USA,2,A Walk on the Moon (1999),1999
1699546,F,USA,1,A Woman of Paris: A Drama of Fate (1923),1923
1699876,T,UK,3,A Zed & Two Noughts (1986),1986
1703410,T,other,2,About Adam (2000),2000
1703469,T,USA,3,About Last Night... (1986),1986
1703588,T,USA,2,Above the Rim (1994),1994
1703679,F,other,3,Abre los ojos (1997),1997
1703907,T,USA,3,Absolute Power (1997),1997
1704569,T,USA,1,Ace Ventura: Pet Detective (1994),1994
1704571,T,USA,1,Ace Ventura: When Nature Calls (1995),1995
1704577,T,USA,3,Ace in the Hole (1951),1951
1704645,T,UK,2,Aces: Iron Eagle III (1992),1992
1705196,T,USA,1,Across the Sea of Time (1995),1995
1705417,T,USA,2,Action Jackson (1988),1988
1706079,T,USA,1,Addams Family Values (1993),1993
1706140,T,USA,2,Addicted to Love (1997),1997
1706887,T,USA,1,Adrenalin: Fear the Rush (1996),1996
1707277,T,USA,2,Adventures in Babysitting (1987),1987
1707941,T,USA,3,Affliction (1997),1997
1708591,T,USA,1,After Life (1999),1999
1708982,T,USA,3,Afterglow (1997),1997
1709238,T,USA,3,Against All Odds (1984),1984
1709892,T,USA,1,Agnes Browne (1999),1999
1709901,T,USA,2,Agnes of God (1985),1985
1710609,F,other,2,Ai no borei (1978),1978
1710622,F,other,2,Ai no korîda (1976),1976
1710673,F,other,3,Ai qing wan sui (1994),1994
1710994,F,other,3,Aimée & Jaguar (1999),1999
1711133,T,USA,3,Air America (1990),1990
1711143,T,USA,2,Air Bud (1997),1997
1711145,T,USA,1,Air Bud: Golden Receiver (1998),1998
1711175,T,USA,3,Air Force One (1997),1997
1711356,T,USA,1,Airheads (1994),1994
1711383,T,USA,1,Airplane II: The Sequel (1982),1982
1711384,T,USA,1,Airplane! (1980),1980
1711393,T,USA,3,Airport '77 (1977),1977
1711395,T,USA,3,Airport (1970),1970
1711398,T,USA,2,Airport 1975 (1974),1974
1712152,F,other,3,Akira (1988),1988
1713183,T,USA,1,Aladdin (1992),1992
1713499,T,USA,2,Alaska (1996),1996
1713755,T,USA,2,Albino Alligator (1996),1996
1714481,T,USA,2,Algiers (1938),1938
1714991,F,France,3,Alice et Martin (1998),1998
1715025,T,USA,1,Alice in Wonderland (1951),1951
1715186,T,USA,3,Alien (1979),1979
1715253,T,USA,1,Alien Escape (1997),1997
1715288,T,USA,1,Alien Nation (1988),1988
1715380,T,USA,3,Alien: Resurrection (1997),1997
1715404,T,USA,3,Aliens (1986),1986
1715607,T,USA,3,Alive (1993),1993
1715793,T,USA,3,All About Eve (1950),1950
1716019,T,other,1,All Dogs Go to Heaven (1989),1989
1716020,T,USA,1,All Dogs Go to Heaven 2 (1996),1996
1716411,T,USA,1,All Over Me (1997),1997
1716452,T,USA,3,All Quiet on the Western Front (1930),1930
1716615,T,USA,3,All That Jazz (1979),1979
1717077,T,USA,3,All the King's Men (1949),1949
1717117,T,USA,2,All the Rage (1999),1999
1717144,T,USA,1,All the Vermeers in New York (1990),1990
1717455,T,USA,2,Allan Quatermain and the Lost City of Gold (1986),1986
1717910,T,USA,1,Alligator (1980),1980
1718318,T,USA,3,Almost Famous (2000),2000
1718342,T,USA,1,Almost Heroes (1998),1998
1718968,F,France,2,"Alphaville, une étrange aventure de Lemmy Caution (1965)",1965
1719502,T,USA,3,Alvarez Kelly (1966),1966
1719614,T,UK,1,Always Tell Your Wife (1923),1923
1720040,T,USA,3,Amadeus (1984),1984
1720443,T,USA,2,Amateur (1994),1994
1721568,T,USA,3,American Beauty (1999),1999
1721607,T,UK,1,American Buffalo (1996),1996
1721750,T,USA,2,American Dream (1990),1990
1721864,T,USA,3,American Flyers (1985),1985
1721888,T,USA,3,American Gigolo (1980),1980
1721919,T,USA,3,American Graffiti (1973),1973
1721967,T,USA,3,American History X (1998),1998
1722098,T,USA,2,American Movie (1999),1999
1722164,T,USA,1,American Pie (1999),1999
1722174,T,USA,1,American Pimp (1999),1999
1722181,T,USA,2,American Pop (1981),1981
1722198,T,USA,2,American Psycho (2000),2000
1722327,T,USA,2,American Strays (1996),1996
1722395,T,France,1,American Virgin (1999),1999
1722617,F,other,1,Amic/Amat (1999),1999
1722761,T,USA,3,Amistad (1997),1997
1722776,T,USA,2,Amityville 3-D (1983),1983
1722777,T,other,2,Amityville II: The Possession (1982),1982
1723002,T,UK,1,Among Giants (1998),1998
1723532,T,USA,2,Amos & Andrew (1993),1993
1724000,T,USA,3,An Affair to Remember (1957),1957
1724037,T,USA,1,An Alan Smithee Film: Burn Hollywood Burn (1997),1997
1724179,T,USA,1,An American Tail (1986),1986
1724180,T,USA,1,An American Tail: Fievel Goes West (1991),1991
1724190,T,UK,2,An American Werewolf in London (1981),1981
1724193,T,UK,2,An American Werewolf in Paris (1997),1997
1724201,T,USA,3,An American in Paris (1951),1951
1724413,T,UK,3,An Awfully Big Adventure (1995),1995
1724880,T,UK,2,An Ideal Husband (1999),1999
1725437,F,other,1,An Uninvited Guest (2010),2010
1725774,T,USA,1,Anaconda (1997),1997
1726761,T,USA,2,Analyze This (1999),1999
1726934,T,USA,1,Anastasia (1997),1997
1727017,F,other,2,Anatomie (2000),2000
1727082,T,USA,3,Anatomy of a Murder (1959),1959
1727237,T,USA,3,Anchors Aweigh (1945),1945
1727348,T,USA,2,And God Created Woman (1988),1988
1727413,T,UK,1,And Now for Something Completely Different (1971),1971
1727885,T,USA,1,Andre (1994),1994
1728742,T,other,2,Angel Baby (1995),1995
1728802,T,USA,3,Angel Heart (1987),1987
1728889,T,USA,2,Angel and the Badman (1947),1947
1728948,T,USA,3,Angel on My Shoulder (1946),1946
1729005,T,USA,2,Angela (1995),1995
1729026,T,USA,3,Angela's Ashes (1999),1999
1729240,T,USA,3,Angels and Insects (1995),1995
1729260,T,USA,2,Angels in the Outfield (1994),1994
1729569,T,USA,1,Angus (1995),1995
1729579,F,other,1,Angustia (1947),1947
1729818,T,USA,2,Animal House (1978),1978
1730457,T,UK,0,Anna (1918),1918
1730566,T,USA,2,Anna Karenina (1997),1997
1730640,T,USA,3,Anna and the King (1999),1999
1730836,T,UK,3,Anne Frank Remembered (1995),1995
1730975,T,USA,1,Annie Hall (1977),1977
1731412,T,USA,2,Another Day in Paradise (1998),1998
1731505,T,UK,1,Another Man's Poison (1951),1951
1731582,T,USA,2,Another Stakeout (1993),1993
1732344,F,other,2,Antonia (1995),1995
1732496,T,USA,1,Antz (1998),1998
1732658,T,USA,3,Any Given Sunday (1999),1999
1732858,T,USA,3,Anywhere But Here (1999),1999
1733111,F,other,3,Aparajito (1956),1956
1733479,T,USA,3,Apocalypse Now (1979),1979
1733566,T,USA,3,Apollo 13 (1995),1995
1734162,T,USA,1,April Fool's Day (1986),1986
1734321,T,USA,3,Apt Pupil (1998),1998
1734369,F,other,2,Apur Sansar (1959),1959
1734803,T,USA,2,Arachnophobia (1990),1990
1735791,T,USA,2,Arguing the World (1998),1998
1736211,T,USA,3,Arlington Road (1999),1999
1736268,T,USA,3,Armageddon (1998),1998
1736362,T,USA,1,Armed and Dangerous (1986),1986
1736592,T,USA,2,Army of Darkness (1992),1992
1736794,T,USA,3,Around the World in 80 Days (2004),2004
1737340,T,USA,3,Arsenic and Old Lace (1944),1944
1737713,F,other,2,Artemisia (1997),1997
1737766,T,USA,2,Arthur (1981),1981
1738481,T,USA,3,As Good as It Gets (1997),1997
1739234,F,other,2,Asfour Stah (1990),1990
1740732,T,USA,2,Assassination (1987),1987
1740752,T,USA,3,Assassins (1995),1995
1740811,T,USA,1,Assault on Precinct 13 (1976),1976
1741487,T,other,1,Asylum (1998),1998
1741682,T,USA,3,At First Sight (1999),1999
1742509,T,other,2,Atlantic City (1980),1980
1743028,T,USA,1,Attack of the Killer Tomatoes! (1978),1978
1743689,F,other,2,Auch Zwerge haben klein angefangen (1970),1970
1743852,T,USA,3,Audrey Rose (1977),1977
1744178,T,UK,1,August (1996),1996
1744391,T,USA,3,Auntie Mame (1958),1958
1744809,T,USA,1,Austin Powers: International Man of Mystery (1997),1997
1744811,T,USA,1,Austin Powers: The Spy Who Shagged Me (1999),1999
1745373,T,UK,1,Autumn Heart (2003),2003
1745406,T,USA,2,Autumn in New York (2000),2000
1745530,T,USA,1,Avalanche (1978),1978
1746382,T,USA,3,Awakenings (1990),1990
1746829,T,USA,3,Ayn Rand: A Sense of Life (1997),1997
1747382,F,other,2,Azúcar amarga (1996),1996
1747494,T,USA,1,B*A*P*S (1997),1997
1747545,T,UK,1,B. Monkey (1998),1998
1747649,T,USA,2,BASEketball (1998),1998
1747899,F,other,3,Ba wang bie ji (1993),1993
1748196,T,other,1,Babe (1995),1995
1748219,T,other,2,Babe: Pig in the City (1998),1998
1748315,T,USA,1,Babes in Toyland (1934),1934
1748317,T,USA,2,Babes in Toyland (1961),1961
1748754,T,USA,2,Baby Geniuses (1999),1999
1748996,T,USA,1,Baby: Secret of the Lost Legend (1985),1985
1749026,T,USA,2,Babyfever (1994),1994
1749222,F,other,1,Bacheha-Ye aseman (1997),1997
1749247,T,USA,2,Bachelor Party (1984),1984
1749438,T,USA,0,Back Stage (1917),1917
1749683,T,USA,2,Back to School (1986),1986
1749731,T,USA,3,Back to the Future (1985),1985
1749735,T,USA,2,Back to the Future Part II (1989),1989
1749737,T,USA,3,Back to the Future Part III (1990),1990
1749806,T,UK,2,Backbeat (1994),1994
1749891,T,USA,3,Backdraft (1991),1991
1750364,T,USA,3,Bad Boys (1995),1995
1750424,T,USA,2,Bad Company (1995),1995
1750510,T,USA,2,Bad Girls (1994),1994
1750660,T,USA,2,Bad Lieutenant (1992),1992
1750728,T,USA,1,Bad Moon (1996),1996
1750816,T,other,2,Bad Taste (1987),1987
1751059,F,other,1,Badkonake sefid (1995),1995
1751071,T,USA,1,Badlands (1973),1973
1751872,T,other,3,Bait (2000),2000
1753266,T,USA,1,Balto (1995),1995
1753348,T,USA,1,Bambi (1942),1942
1753400,T,USA,3,Bamboozled (2000),2000
1753578,T,USA,1,Bananas (1971),1971
1753695,T,USA,2,Band of the Hand (1986),1986
1753837,F,other,3,Bandit Queen (1994),1994
1753860,F,other,3,Bandits (1997),1997
1754754,F,USA,2,Baraka (1992),1992
1754799,T,USA,2,Barb Wire (1996),1996
1754884,T,France,2,Barbarella (1968),1968
1755112,T,USA,2,Barcelona (1994),1994
1755524,T,USA,2,Barefoot in the Park (1967),1967
1755813,T,other,1,Barenaked in America (1999),1999
1756051,T,other,1,Barney's Great Adventure (1998),1998
1756391,T,UK,3,Barry Lyndon (1975),1975
1756768,T,USA,3,Basic Instinct (1992),1992
1756902,T,USA,2,Basquiat (1996),1996
1756980,T,USA,2,Bastard Out of Carolina (1996),1996
1757342,T,USA,3,Batman & Robin (1997),1997
1757347,T,USA,3,Batman (1989),1989
1757367,T,USA,3,Batman Forever (1995),1995
1757378,T,USA,3,Batman Returns (1992),1992
1757423,T,USA,1,Batman: Mask of the Phantasm (1993),1993
1757465,F,other,1,Baton Rouge (1988),1988
1757485,T,USA,1,Bats (1999),1999
1757698,T,USA,2,Battle for the Planet of the Apes (1973),1973
1757893,T,USA,3,Battlefield Earth (2000),2000
1758003,T,USA,1,Battling Butler (1926),1926
1758767,T,USA,2,Beach Party (1963),1963
1758856,T,UK,1,Bean (1997),1997
1759189,T,UK,1,Beat the Devil (1953),1953
1759448,T,USA,3,Beautiful (2000),2000
1759573,T,USA,3,Beautiful Girls (1996),1996
1759654,T,UK,2,Beautiful People (1999),1999
1759685,T,UK,1,Beautiful Thing (1996),1996
1759736,T,USA,0,Beauty (1921),1921
1759851,T,USA,1,Beauty and the Beast (1991),1991
1759983,T,USA,1,Beavis and Butt-Head Do America (1996),1996
1760306,T,USA,1,Bed of Roses (1996),1996
1760386,T,USA,3,Bedknobs and Broomsticks (1971),1971
